### 十天干所属表 所属/十干
# 阴阳、五行
-/-,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
阴阳,阳,阴,阳,阴,阳,阴,阳,阴,阳,阴
五行,木,木,火,火,土,土,金,金,水,水

### 十二地支所属表 所属/十二支
# 阴阳、五行、生肖
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
阴阳,阳,阴,阳,阴,阳,阴,阳,阴,阳,阴,阳,阴
五行,水,土,木,木,土,火,火,土,金,金,土,水
生肖,鼠,牛,虎,兔,龙,蛇,马,羊,猴,鸡,狗,猪

### 起寅首天干表 寅首/生年天干
-/-,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
寅首,丙,戊,庚,壬,甲,丙,戊,庚,壬,甲

### 安命宫表 生月/生时
# 按本生月及本生时,凡闰月生人，作下月论
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
正月,寅,丑,子,亥,戌,酉,申,未,午,巳,辰,卯
二月,卯,寅,丑,子,亥,戌,酉,申,未,午,巳,辰
三月,辰,卯,寅,丑,子,亥,戌,酉,申,未,午,巳
四月,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未,午
五月,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未
六月,未,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申
七月,申,未,午,巳,辰,卯,寅,丑,子,亥,戌,酉
八月,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
九月,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
十月,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑,子
十一月,子,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑
十二月,丑,子,亥,戌,酉,申,未,午,巳,辰,卯,寅

### 安身宫表 生月/生时
# 按本生月及本生时,凡闰月生人，作下月论
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
正月,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
二月,卯,辰,巳,午,未,申,酉,戌,亥,子,丑,寅
三月,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
四月,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
五月,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
六月,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午
七月,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未
八月,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申
九月,戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉
十月,亥,子,丑,寅,卯,辰,巳,午,未,申,酉,戌
十一月,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
十二月,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子

### 定十二宫表 余宫/命宫
# 按命宫，男女俱从逆转，切记莫顺行

### 定十二宫天干表 本生年干*/十二宫
# 按本生年干
-/-,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
甲己,丙,丁,戊,己,庚,辛,壬,癸,甲,乙,丙,丁
乙庚,戊,己,庚,辛,壬,癸,甲,乙,丙,丁,戊,己
丙辛,庚,辛,壬,癸,甲,乙,丙,丁,戊,己,庚,辛
丁壬,壬,癸,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
戊癸,甲,乙,丙,丁,戊,己,庚,辛,壬,癸,甲,乙

### 定五行局表 本生年干*/命支*
# 按本生年干及命支
-/-,子丑,寅卯,辰巳,午未,申酉,戌亥
甲己,水二局,火六局,木三局,土五局,金四局,火六局
乙庚,火六局,土五局,金四局,木三局,水二局,土五局
丙辛,土五局,木三局,水二局,金四局,火六局,木三局
丁壬,木三局,金四局,火六局,水二局,土五局,金四局
戊癸,金四局,水二局,土五局,火六局,木三局,水二局

### 起紫微表 五行局/生日
# 按命宫五行局及本生日
--/--,初一,初二,初三,初四,初五,初六,初七,初八,初九,初十,十一,十二,十三,十四,十五,十六,十七,十八,十九,二十,二一,二二,二三,二四,二五,二六,二七,二八,二九,三十
水二局,丑,寅,寅,卯,卯,辰,辰,巳,巳,午,午,未,未,申,申,酉,酉,戌,戌,亥,亥,子,子,丑,丑,寅,寅,卯,卯,辰
木三局,辰,丑,寅,巳,寅,卯,午,卯,辰,未,辰,巳,申,巳,午,酉,午,未,戌,未,申,亥,申,酉,子,酉,戌,丑,戌,亥
金四局,亥,辰,丑,寅,子,巳,寅,卯,丑,午,卯,辰,寅,未,辰,巳,卯,申,巳,午,辰,酉,午,未,巳,戌,未,申,午,亥
土五局,午,亥,辰,丑,寅,未,子,巳,寅,卯,申,丑,午,卯,辰,酉,寅,未,辰,巳,戌,卯,申,巳,午,亥,辰,酉,午,未
火六局,酉,午,亥,辰,丑,寅,戌,未,子,巳,寅,卯,亥,申,丑,午,卯,辰,子,酉,寅,未,辰,巳,丑,戌,卯,申,巳,午

### 安紫微诸星表 诸星/紫微
# 随紫微星而安之诸星
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
天府,辰,卯,寅,丑,子,亥,戌,酉,申,未,午,巳
太阳,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申
武曲,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未
天机,亥,子,丑,寅,卯,辰,巳,午,未,申,酉,戌
天同,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午
廉贞,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯

### 安天府诸星表 诸星/天府
# 随天府星而安之诸星
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
太阴,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子
贪狼,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
巨门,卯,辰,巳,午,未,申,酉,戌,亥,子,丑,寅
天相,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
天梁,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
七杀,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
破军,戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉

### 安时系诸星表 诸星/本生时
# 按木生时安之
